"date","region","hospitalized","intensive_care","deceassed","cases_registered","recovered"
2020-03-14,"La Rioja",58,7,3,300,1
2020-03-15,"La Rioja",64,13,4,312,2
2020-03-16,"La Rioja",82,13,5,355,2
2020-03-17,"La Rioja",99,13,5,419,2
2020-03-18,"La Rioja",121,15,5,468,2
2020-03-19,"La Rioja",122,15,7,497,13
2020-03-20,"La Rioja",128,17,15,564,18
2020-03-21,"La Rioja",134,17,18,654,18
2020-03-22,"La Rioja",166,22,22,747,18
2020-03-23,"La Rioja",206,24,30,802,24
2020-03-24,"La Rioja",254,33,37,928,43
2020-03-25,"La Rioja",316,36,43,995,48
2020-03-26,"La Rioja",388,43,55,1236,62
2020-03-27,"La Rioja",458,43,65,1436,364
2020-03-28,"La Rioja",497,43,68,1629,397
2020-03-29,"La Rioja",517,43,71,1733,431
2020-03-30,"La Rioja",575,51,85,1810,496
2020-03-31,"La Rioja",619,54,90,1960,569
2020-04-01,"La Rioja",660,57,101,2083,641
2020-04-02,"La Rioja",738,64,109,2224,745
2020-04-03,"La Rioja",805,64,128,2405,843
2020-04-04,"La Rioja",855,66,134,2592,904
2020-04-05,"La Rioja",888,66,141,2719,964
2020-04-06,"La Rioja",918,66,160,2846,994
2020-04-07,"La Rioja",955,68,177,2951,1061
2020-04-08,"La Rioja",997,69,182,3026,1172
2020-04-09,"La Rioja",1047,71,196,3076,1256
2020-04-10,"La Rioja",1082,73,207,3496,1337
2020-04-11,"La Rioja",1122,73,219,3596,1420
2020-04-12,"La Rioja",1141,73,223,3675,1458
2020-04-13,"La Rioja",1152,74,234,3749,1519
2020-04-14,"La Rioja",1182,75,246,3831,1582
2020-04-15,"La Rioja",1207,75,257,3916,1654
2020-04-16,"La Rioja",1226,76,262,4098,1729
2020-04-17,"La Rioja",1249,78,272,4250,1777
2020-04-18,"La Rioja",1268,79,277,4330,1816
2020-04-19,"La Rioja",1282,79,285,4371,1833
2020-04-20,"La Rioja",1297,81,294,4483,1866
2020-04-21,"La Rioja",1318,81,298,4586,1899
2020-04-22,"La Rioja",1331,82,303,4727,1937
2020-04-23,"La Rioja",1344,82,307,4865,1964
2020-04-24,"La Rioja",1360,83,311,4946,1999
2020-04-25,"La Rioja",1380,84,315,4998,2037
2020-04-26,"La Rioja",1392,85,320,5041,2049
2020-04-27,"La Rioja",1400,87,326,5097,2064
2020-04-28,"La Rioja",1413,87,330,5173,2091
2020-04-29,"La Rioja",1424,88,332,5206,2159
2020-04-30,"La Rioja",1433,88,333,5226,2220
2020-05-01,"La Rioja",1439,88,334,5239,2279
2020-05-02,"La Rioja",1446,88,335,5247,2297
2020-05-03,"La Rioja",1449,88,335,5258,2312
2020-05-04,"La Rioja",1452,90,336,5270,2345
2020-05-05,"La Rioja",1458,91,337,5322,2396
2020-05-06,"La Rioja",1463,91,338,5330,2457
2020-05-07,"La Rioja",1469,91,342,5355,2526
2020-05-08,"La Rioja",1473,91,344,5365,2581
2020-05-09,"La Rioja",1474,91,346,5378,2648
2020-05-10,"La Rioja",1475,91,346,5382,2700
2020-05-11,"La Rioja",1478,91,347,5392,2749
2020-05-12,"La Rioja",1481,91,348,5397,2804
2020-05-13,"La Rioja",1484,91,348,5405,2867
2020-05-14,"La Rioja",1488,91,348,5409,2927
2020-05-15,"La Rioja",1490,91,348,5413,2990
2020-05-16,"La Rioja",1496,91,349,5417,3048
2020-02-20,"Ceuta",NA,NA,NA,0,NA
2020-02-21,"Ceuta",NA,NA,NA,0,NA
2020-02-22,"Ceuta",NA,NA,NA,0,NA
2020-02-23,"Ceuta",NA,NA,NA,0,NA
2020-02-24,"Ceuta",NA,NA,NA,0,NA
2020-02-25,"Ceuta",NA,NA,NA,0,NA
2020-02-26,"Ceuta",NA,NA,NA,0,NA
2020-02-27,"Ceuta",NA,NA,NA,0,NA
2020-02-28,"Ceuta",NA,NA,NA,0,NA
2020-02-29,"Ceuta",NA,NA,NA,0,NA
2020-03-01,"Ceuta",NA,NA,NA,0,NA
2020-03-02,"Ceuta",NA,NA,NA,0,NA
2020-03-03,"Ceuta",NA,NA,NA,0,NA
2020-03-04,"Ceuta",NA,NA,NA,0,NA
2020-03-05,"Ceuta",NA,NA,NA,0,NA
2020-03-06,"Ceuta",NA,NA,NA,0,NA
2020-03-07,"Ceuta",NA,NA,NA,0,NA
2020-03-08,"Ceuta",NA,0,0,0,NA
2020-03-09,"Ceuta",NA,0,0,0,NA
2020-03-10,"Ceuta",0,0,0,0,0
2020-03-11,"Ceuta",0,0,0,0,0
2020-03-12,"Ceuta",0,0,0,0,0
2020-03-13,"Ceuta",0,0,0,0,0
2020-03-14,"Ceuta",0,0,0,1,0
2020-03-15,"Ceuta",0,0,0,1,0
2020-03-16,"Ceuta",0,0,0,1,0
2020-03-17,"Ceuta",0,0,0,1,0
2020-03-18,"Ceuta",0,0,0,1,0
2020-03-19,"Ceuta",0,0,0,5,0
2020-03-20,"Ceuta",0,0,0,5,0
2020-03-21,"Ceuta",0,0,0,5,0
2020-03-22,"Ceuta",0,0,0,6,0
2020-03-23,"Ceuta",0,0,0,6,0
2020-03-24,"Ceuta",2,1,0,9,0
2020-03-25,"Ceuta",2,2,0,10,0
2020-03-26,"Ceuta",2,2,0,17,0
2020-03-27,"Ceuta",2,2,1,17,0
2020-03-28,"Ceuta",2,2,1,21,0
2020-03-29,"Ceuta",2,2,1,25,0
2020-03-30,"Ceuta",3,3,1,34,0
2020-03-31,"Ceuta",6,3,1,51,0
2020-04-01,"Ceuta",7,3,1,55,0
2020-04-02,"Ceuta",8,3,1,62,2
2020-04-03,"Ceuta",8,4,1,73,2
2020-04-04,"Ceuta",9,4,2,83,2
2020-04-05,"Ceuta",9,4,3,83,2
2020-04-06,"Ceuta",9,4,4,83,2
2020-04-07,"Ceuta",9,4,4,84,7
2020-04-08,"Ceuta",9,4,4,84,7
2020-04-09,"Ceuta",9,4,4,91,12
2020-04-10,"Ceuta",9,4,4,93,17
2020-04-11,"Ceuta",9,4,4,93,17
2020-04-12,"Ceuta",9,4,4,95,20
2020-04-13,"Ceuta",9,4,4,96,22
2020-04-14,"Ceuta",9,4,4,98,30
2020-04-15,"Ceuta",9,4,4,100,41
2020-04-16,"Ceuta",9,4,4,101,44
2020-04-17,"Ceuta",9,4,4,111,53
2020-04-18,"Ceuta",9,4,4,112,59
2020-04-19,"Ceuta",9,4,4,114,74
2020-04-20,"Ceuta",9,4,4,114,73
2020-04-21,"Ceuta",9,4,4,124,76
2020-04-22,"Ceuta",9,4,4,124,76
2020-04-23,"Ceuta",10,4,4,125,84
2020-04-24,"Ceuta",10,4,4,125,98
2020-04-25,"Ceuta",10,4,4,131,104
2020-04-26,"Ceuta",10,4,4,131,107
2020-04-27,"Ceuta",10,4,4,134,110
2020-04-28,"Ceuta",10,4,4,139,114
2020-04-29,"Ceuta",10,4,4,146,126
2020-04-30,"Ceuta",10,4,4,151,138
2020-05-01,"Ceuta",10,4,4,152,140
2020-05-02,"Ceuta",10,4,4,152,141
2020-05-03,"Ceuta",10,4,4,152,142
2020-05-04,"Ceuta",10,4,4,155,145
2020-05-05,"Ceuta",10,4,4,164,150
2020-05-06,"Ceuta",10,4,4,165,150
2020-05-07,"Ceuta",11,4,4,168,154
2020-05-08,"Ceuta",11,4,4,169,154
2020-05-09,"Ceuta",11,4,4,169,154
2020-05-10,"Ceuta",11,4,4,169,154
2020-05-11,"Ceuta",11,4,4,173,154
2020-05-12,"Ceuta",11,4,4,173,156
2020-05-13,"Ceuta",11,4,4,175,159
2020-05-14,"Ceuta",11,4,4,175,160
2020-05-15,"Ceuta",11,4,4,175,163
2020-05-16,"Ceuta",11,4,4,175,163
2020-02-20,"Melilla",NA,NA,NA,0,NA
2020-02-21,"Melilla",NA,NA,NA,0,NA
2020-02-22,"Melilla",NA,NA,NA,0,NA
2020-02-23,"Melilla",NA,NA,NA,0,NA
2020-02-24,"Melilla",NA,NA,NA,0,NA
2020-02-25,"Melilla",NA,NA,NA,0,NA
2020-02-26,"Melilla",NA,NA,NA,0,NA
2020-02-27,"Melilla",NA,NA,NA,0,NA
2020-02-28,"Melilla",NA,NA,NA,0,NA
2020-02-29,"Melilla",NA,NA,NA,0,NA
2020-03-01,"Melilla",NA,NA,NA,0,NA
2020-03-02,"Melilla",NA,NA,NA,0,NA
2020-03-03,"Melilla",NA,NA,NA,0,NA
2020-03-04,"Melilla",NA,NA,NA,0,NA
2020-03-05,"Melilla",NA,NA,NA,0,NA
2020-03-06,"Melilla",NA,NA,NA,0,NA
2020-03-07,"Melilla",NA,NA,NA,0,NA
2020-03-08,"Melilla",NA,0,0,0,NA
2020-03-09,"Melilla",NA,0,0,0,NA
2020-03-10,"Melilla",0,0,0,0,0
2020-03-11,"Melilla",0,0,0,0,0
2020-03-12,"Melilla",3,0,0,2,0
2020-03-13,"Melilla",3,0,0,3,0
2020-03-14,"Melilla",4,0,0,8,0
2020-03-15,"Melilla",4,0,0,8,0
2020-03-16,"Melilla",4,0,0,17,0
2020-03-17,"Melilla",4,0,0,20,0
2020-03-18,"Melilla",4,0,0,23,0
2020-03-19,"Melilla",5,1,0,24,0
2020-03-20,"Melilla",8,1,0,25,0
2020-03-21,"Melilla",12,1,0,25,0
2020-03-22,"Melilla",12,1,0,28,0
2020-03-23,"Melilla",12,1,0,28,0
2020-03-24,"Melilla",14,2,0,38,0
2020-03-25,"Melilla",16,2,1,39,0
2020-03-26,"Melilla",18,2,1,42,0
2020-03-27,"Melilla",22,2,1,45,0
2020-03-28,"Melilla",24,2,1,48,0
2020-03-29,"Melilla",27,3,1,51,0
2020-03-30,"Melilla",27,3,1,54,0
2020-03-31,"Melilla",32,3,1,62,0
2020-04-01,"Melilla",32,3,1,62,0
2020-04-02,"Melilla",34,3,2,70,4
2020-04-03,"Melilla",37,3,2,79,9
2020-04-04,"Melilla",38,3,2,83,11
2020-04-05,"Melilla",38,3,2,86,11
2020-04-06,"Melilla",40,3,2,92,11
2020-04-07,"Melilla",40,3,2,93,12
2020-04-08,"Melilla",40,3,2,93,16
2020-04-09,"Melilla",41,3,2,95,17
2020-04-10,"Melilla",43,3,2,98,18
2020-04-11,"Melilla",43,3,2,98,18
2020-04-12,"Melilla",43,3,2,101,18
2020-04-13,"Melilla",43,3,2,101,18
2020-04-14,"Melilla",43,3,2,102,24
2020-04-15,"Melilla",43,3,2,103,27
2020-04-16,"Melilla",44,3,2,104,30
2020-04-17,"Melilla",44,3,2,104,30
2020-04-18,"Melilla",44,3,2,107,44
2020-04-19,"Melilla",44,3,2,109,46
2020-04-20,"Melilla",44,3,2,110,46
2020-04-21,"Melilla",44,3,2,111,50
2020-04-22,"Melilla",44,3,2,113,55
2020-04-23,"Melilla",44,3,2,116,61
2020-04-24,"Melilla",44,3,2,118,77
2020-04-25,"Melilla",44,3,2,121,81
2020-04-26,"Melilla",44,3,2,121,87
2020-04-27,"Melilla",44,3,2,125,92
2020-04-28,"Melilla",44,3,2,125,95
2020-04-29,"Melilla",44,3,2,125,96
2020-04-30,"Melilla",44,3,2,126,96
2020-05-01,"Melilla",44,3,2,126,96
2020-05-02,"Melilla",44,3,2,129,98
2020-05-03,"Melilla",44,3,2,131,101
2020-05-04,"Melilla",44,3,2,131,101
2020-05-05,"Melilla",44,3,2,131,104
2020-05-06,"Melilla",44,3,2,132,108
2020-05-07,"Melilla",44,3,2,132,108
2020-05-08,"Melilla",44,3,2,132,108
2020-05-09,"Melilla",44,3,2,132,111
2020-05-10,"Melilla",44,3,2,132,113
2020-05-11,"Melilla",44,3,2,132,115
2020-05-12,"Melilla",44,3,2,132,115
2020-05-13,"Melilla",44,3,2,132,119
2020-05-14,"Melilla",44,3,2,132,119
2020-05-15,"Melilla",44,3,2,132,122
2020-05-16,"Melilla",44,3,2,134,124
